-0.49999999,-0.39999999,-0.29999999,-0.19999998999999996,-0.09999998999999998,1e-08,0.10000001000000008,0.20000001000000006,0.30000001000000004,0.40000001,0.50000001,0.6000000100000001,0.7000000100000002,0.8000000100000001,0.9000000100000002,1.00000001
-0.449,-0.411,-0.323,-0.205,-0.141,-0.065,0.032,-0.09,0.869,0.532,0.148,1.186,0.743,0.537,0.301,1.594
-0.452,-0.455,-0.266,-0.151,-0.046,-0.035,0.086,-0.017,0.1,0.051,0.551,0.499,0.33,0.783,0.365,0.358
-0.474,-0.412,-0.34,-0.378,-0.085,0.313,0.076,0.288,0.042,0.131,0.741,0.353,0.247,0.284,1.005,0.691
-0.47,-0.421,-0.31,-0.133,-0.114,-0.08,-0.077,0.056,0.115,0.105,0.167,0.507,0.779,0.552,0.55,0.99
-0.338,-0.276,-0.397,-0.1,-0.263,0.021,0.014,0.11,0.744,0.286,0.646,0.317,0.322,0.225,0.795,0.327
-0.422,-0.189,-0.198,-0.336,-0.169,-0.146,-0.01,0.102,0.052,0.531,0.207,0.342,1.032,1.504,1.821,0.475
-0.439,-0.338,-0.439,-0.122,0.344,-0.029,-0.08,0.117,0.175,0.182,0.414,1.348,0.299,0.386,1.606,0.228
-0.457,-0.351,-0.28,-0.142,-0.203,-0.068,0.346,0.075,0.82,-0.071,0.107,0.209,0.296,0.316,0.301,0.603
-0.4,-0.345,-0.163,-0.313,-0.08,-0.033,0.014,-0.036,-0.004,0.199,0.919,0.14,0.974,0.232,0.284,0.303
-0.431,-0.38,-0.243,-0.214,-0.219,0.057,-0.035,0.288,0.361,0.41,0.212,0.216,0.448,0.827,0.884,0.585
-0.364,-0.373,-0.358,-0.174,-0.152,-0.147,0.023,0.013,0.064,0.232,0.112,0.295,0.678,0.4,0.959,1.36
-0.45,-0.386,-0.396,-0.186,-0.306,-0.202,0.329,0.083,0.034,0.095,0.199,0.538,1.113,0.633,0.852,3.472
-0.375,-0.432,-0.334,-0.141,-0.254,-0.013,0.101,0.012,0.122,0.137,0.132,0.203,0.788,1.149,1.218,1.804
-0.358,-0.328,-0.336,-0.198,-0.078,-0.078,0.013,0.149,-0.036,0.077,0.131,0.129,0.245,0.486,0.198,0.272
-0.476,-0.294,-0.246,-0.246,-0.135,-0.056,-0.03,0.653,0.044,0.447,0.179,0.966,0.35,0.754,2.205,0.33
-0.458,-0.264,-0.283,-0.202,-0.079,-0.012,0.019,0.227,0.113,0.182,0.2,0.29,0.223,0.424,3.953,0.638
-0.428,-0.386,-0.41,-0.267,-0.242,0.04,0.008,0.085,0.166,0.167,0.228,0.508,1.231,0.437,3.143,2.388
-0.297,-0.353,-0.387,-0.228,-0.063,-0.013,-0.004,-0.021,0.236,0.169,1.274,1.178,0.958,2.74,0.283,1.235
-0.47,-0.382,-0.178,-0.242,-0.075,-0.113,0.028,0.047,0.084,0.617,0.174,0.369,1.387,0.654,0.628,0.613
-0.475,-0.33,-0.305,-0.342,-0.156,-0.023,-0.309,0.319,0.135,0.17,0.559,0.181,0.265,0.338,1.083,0.373
-0.458,-0.348,-0.323,-0.183,-0.189,-0.162,0.045,0.043,0.093,0.116,0.462,0.166,0.859,0.394,0.656,0.351
-0.36,-0.295,-0.202,-0.384,-0.146,-0.046,-0.001,0.087,0.075,0.456,0.143,0.201,0.278,0.795,0.777,0.32
-0.369,-0.437,-0.261,-0.053,-0.211,-0.216,-0.007,0.304,0.812,0.148,0.809,0.973,0.305,0.894,0.201,0.623
-0.352,-0.146,-0.333,-0.145,-0.129,-0.102,0.044,-0.026,0.121,0.2,0.731,1.475,0.534,1.935,1.598,1.08
-0.469,-0.352,-0.28,-0.094,-0.153,-0.134,-0.037,0.016,0.573,0.166,0.325,0.87,0.442,1.537,0.276,0.971
-0.465,-0.052,-0.357,-0.325,-0.032,-0.069,0.005,0.175,-0.13,-0.033,0.137,0.428,0.268,1.489,0.657,1.076
